학교,학년,3모,1학기 중간,5모,6모,1학기 기말,7모,여름방학,9모,2학기 중간,10모,2학기 기말,겨울방학
주석고,2학년,03-24,4/27~30,,06-04,6/25~30,,7/20~8/5,09-02,9/29~10/2,10-20,12/1~4,12/18~
주석고,3학년,03-24,4/27~30,05-07,06-04,6/25~30,07-08,7/20~8/5,09-02,9/29~10/2,10-20,12/1~4,12/18~
봉명중 ,1학년,,4/29~30,,,6/30~7/2,,7/20~8/14,,x,,x,1/6~
봉명중 ,2학년,,4/29~30,,,6/30~7/2,,7/20~8/14,,10/19~20,,12/14~16,1/6~
봉명중 ,3학년,,4/29~30,,,6/30~7/2,,7/20~8/14,,10/19~21,,x,1/6~
*청주대성고,1학년,03-24,4/27~30,,06-04,7/1~7,,7/22~8/14,09-02,10/1~7,10-20,12/7~11,12/28~
*청주대성고,2학년,03-24,4/27~30,,06-04,7/1~7,,7/22~8/14,09-02,10/1~7,10-20,12/7~11,12/28~
*청주대성고,3학년,03-24,4/27~30,05-07,06-04,7/1~7,07-08,7/22~8/14,09-02,10/1~7,10-20,x,12/28~
청주중앙중,,학사일정 확인 불가. (파일 깨짐.),,,,,,,,,,,
,,,,,,,,,,,,,
*청주대성고: 8/28일-충북교육청 모의고사,,,,,,,,,,,,,
